grupo,algorithm,heuristic,domain,instance,cost,h0,generated,time,gen_per_sec
x,a_star,gap,pancake28,'14 2 27 3 1 10 8 15 19 16 26 12 24 7 21 4 0 6 22 13 23 5 11 9 18 17 20 25',na,na,na,na,na
x,a_star,gap,pancake28,'5 27 18 10 4 22 19 13 9 2 0 26 8 1 17 7 25 11 21 20 15 16 12 6 23 24 3 14',25,24,517152,357557,144635
x,a_star,gap,pancake28,'2 4 10 26 6 18 1 17 11 14 19 22 0 15 23 21 16 13 27 24 8 25 7 3 12 20 5 9',29,27,13760073,948123,145130
x,a_star,gap,pancake28,'7 25 2 26 11 24 1 0 4 8 10 19 18 5 27 17 13 21 15 6 14 9 12 3 16 23 22 20',26,24,1763678,120982,145780
x,a_star,gap,pancake28,'8 2 13 3 11 4 19 17 9 18 27 25 23 22 14 1 15 12 26 0 5 16 6 10 24 21 20 7',26,25,2180502,149682,145676
x,a_star,gap,pancake28,'6 12 7 17 15 20 3 24 16 18 8 10 21 22 9 19 4 0 11 27 2 26 13 1 25 14 23 5',28,26,12374195,858008,144220
x,a_star,gap,pancake28,'9 21 19 8 7 6 12 13 1 3 26 4 15 5 22 23 11 16 25 27 14 0 10 17 18 24 2 20',24,22,480779,331713,144938
x,a_star,gap,pancake28,'11 17 27 4 21 2 23 16 26 7 24 18 6 25 19 1 0 10 9 15 12 5 13 8 14 3 22 20',na,na,na,na,na
x,a_star,gap,pancake28,'0 12 23 18 22 6 25 4 7 8 2 3 1 11 16 9 17 26 20 21 13 27 10 14 5 24 19 15',26,24,42573504,292058,145771
x,a_star,gap,pancake28,'8 3 11 9 2 21 23 24 1 13 19 27 6 5 7 17 22 10 14 25 26 15 18 4 20 0 12 16',26,24,40106423,277637,144457
x,a_star,gap,pancake28,'13 10 1 18 23 27 8 6 17 21 12 2 16 7 25 11 15 22 0 5 9 14 20 3 26 24 4 19',29,27,14832007,102672,144459
x,a_star,gap,pancake28,'8 7 12 24 25 5 23 4 13 0 27 18 14 19 16 2 15 1 21 26 20 6 10 3 22 11 9 17',27,25,18216255,126407,144109
x,a_star,gap,pancake28,'21 6 4 17 23 20 13 12 5 22 8 7 18 14 27 16 9 24 25 15 3 1 10 11 26 0 2 19',25,23,7462837,515895,144658
x,a_star,gap,pancake28,'5 27 25 16 15 20 22 8 24 14 18 26 6 11 21 9 3 4 17 19 7 10 23 13 0 12 2 1',26,24,3894422,269412,144552
x,a_star,gap,pancake28,'14 20 12 4 9 8 3 7 5 13 26 2 23 22 21 18 25 19 6 17 27 11 15 0 10 1 24 16',26,24,5087337,348472,145990
x,a_star,gap,pancake28,'3 19 10 21 26 16 23 24 5 7 18 22 11 8 15 1 4 20 9 12 0 2 27 25 14 13 17 6',27,25,4550986,314674,144626
x,a_star,gap,pancake28,'11 24 4 16 18 10 1 15 0 13 3 9 23 12 20 19 26 27 7 17 25 21 6 2 14 8 22 5',27,25,22472548,155885,144161
x,a_star,gap,pancake28,'19 20 2 9 16 14 27 12 24 26 3 0 25 11 17 5 21 22 10 4 8 23 1 18 7 13 15 6',27,25,8485146,587786,144358
x,a_star,gap,pancake28,'3 26 4 6 22 14 25 11 13 21 0 17 10 5 7 24 19 9 2 23 1 15 12 18 20 8 16 27',27,27,6892,47258,145838
x,a_star,gap,pancake28,'14 5 1 16 19 23 15 4 8 20 6 17 24 2 10 25 0 7 18 21 11 13 9 3 27 26 12 22',na,na,na,na,na
x,a_star,gap,pancake28,'25 14 11 17 3 9 7 26 5 1 0 21 20 8 24 18 10 16 27 23 4 6 15 22 19 2 12 13',na,na,na,na,na
x,a_star,gap,pancake28,'17 20 25 19 5 12 10 7 6 3 9 11 0 24 26 18 4 14 22 21 13 2 27 1 23 8 16 15',26,24,12557572,868894,144524
x,a_star,gap,pancake28,'4 14 3 11 7 12 0 21 19 1 8 27 16 10 9 18 25 13 20 17 22 23 5 2 24 6 15 26',27,25,3990193,275473,144849
x,a_star,gap,pancake28,'4 18 23 25 20 7 24 6 16 11 27 17 19 3 13 12 2 1 0 15 22 26 8 9 21 10 14 5',25,23,3690061,255829,144239
x,a_star,gap,pancake28,'15 0 5 23 20 4 1 10 16 7 24 26 25 27 9 14 13 8 18 11 2 22 6 12 17 3 21 19',na,na,na,na,na
x,a_star,gap,pancake28,'21 3 13 20 26 23 16 17 18 25 4 6 15 1 9 5 19 7 0 27 24 22 10 2 12 14 8 11',na,na,na,na,na
x,a_star,gap,pancake28,'14 22 9 6 4 18 10 2 21 16 8 25 12 26 3 15 0 1 13 19 24 27 5 20 11 23 7 17',28,26,24726242,155441,159072
x,a_star,gap,pancake28,'8 24 1 27 14 10 22 2 17 12 9 26 13 16 6 23 25 21 0 7 19 3 20 15 18 4 5 11',27,26,2637672,165357,159513
x,a_star,gap,pancake28,'2 17 5 6 19 14 27 18 1 20 23 12 22 16 24 10 7 3 26 21 13 25 8 11 0 15 9 4',27,26,6400345,398171,160744
x,a_star,gap,pancake28,'21 26 24 16 14 10 8 0 4 19 17 2 11 6 23 1 20 18 9 5 3 25 15 7 27 22 12 13',27,26,3116430,193924,160704
x,a_star,gap,pancake28,'24 21 11 19 18 2 15 27 5 0 16 7 1 26 13 8 14 25 3 17 12 20 10 23 9 6 4 22',28,26,11618565,722244,160868
x,a_star,gap,pancake28,'15 12 0 5 10 20 25 26 4 14 11 9 19 6 21 13 27 3 1 2 23 18 17 7 24 16 8 22',25,24,358535,225099,159279
x,a_star,gap,pancake28,'27 19 6 5 8 10 0 4 13 22 17 14 2 11 12 20 24 21 23 15 7 9 3 18 16 25 1 26',27,25,5109882,317503,160940
x,a_star,gap,pancake28,'17 24 15 3 16 9 10 13 11 2 6 12 1 5 18 8 19 25 0 4 7 23 27 22 20 26 14 21',27,26,445242,276356,161112
x,a_star,gap,pancake28,'23 24 25 13 9 2 16 8 15 27 0 7 3 20 21 4 14 11 22 1 17 26 18 12 5 6 19 10',25,23,7014003,437564,160297
x,a_star,gap,pancake28,'2 11 18 5 21 25 13 0 22 7 9 16 26 1 14 4 8 24 23 6 15 12 3 17 20 27 19 10',28,26,42965026,270167,159031
x,a_star,gap,pancake28,'16 11 23 4 13 17 26 2 20 18 24 7 0 14 8 25 15 19 12 1 27 5 6 3 22 9 21 10',27,26,2492523,156068,159707
x,a_star,gap,pancake28,'1 20 18 25 12 22 11 4 7 8 21 26 5 14 9 10 0 13 23 3 15 17 27 16 19 6 2 24',27,25,2732917,169687,161056
x,a_star,gap,pancake28,'1 18 7 9 3 14 21 12 17 26 25 11 8 13 4 24 16 22 23 27 6 20 0 5 19 10 15 2',27,25,46930915,293.61,159841
x,a_star,gap,pancake28,'20 2 16 9 10 6 7 1 4 22 15 5 3 19 17 18 27 14 8 12 24 13 23 0 11 26 21 25',na,na,na,na,na
x,a_star,gap,pancake28,'2 20 12 26 9 15 13 22 1 4 19 24 10 21 27 11 6 0 16 14 25 3 23 18 8 17 7 5',28,27,1584950,98911,160240
x,a_star,gap,pancake28,'1 11 25 17 15 2 24 7 21 10 6 22 16 4 13 19 0 20 14 12 3 23 18 5 8 9 26 27',26,25,88347,550572,160464
x,a_star,gap,pancake28,'25 12 4 9 13 5 6 20 19 8 26 15 7 24 0 3 1 2 23 27 22 10 14 16 18 11 17 21',25,24,935376,58148,160861
x,a_star,gap,pancake28,'9 8 21 27 24 1 7 3 13 14 12 17 5 22 15 18 16 20 10 0 4 26 2 25 11 19 6 23',26,25,369664,230266,160538
x,a_star,gap,pancake28,'18 2 7 13 11 19 24 21 22 23 4 20 25 17 10 16 6 5 0 8 15 9 14 3 12 26 1 27',25,24,384642,238496,161278
x,a_star,gap,pancake28,'26 19 21 9 1 5 22 16 0 18 23 4 27 3 6 11 25 13 8 17 24 2 15 20 12 7 10 14',29,27,13031854,817498,159411
x,a_star,gap,pancake28,'25 8 27 15 17 18 16 20 6 5 13 19 14 24 3 7 9 10 0 23 11 2 22 26 4 12 21 1',26,24,32369165,201446,160684
x,a_star,gap,pancake28,'1 27 15 9 6 5 19 4 3 18 21 20 26 17 22 8 23 16 0 13 25 11 2 12 14 10 7 24',25,24,718788,446818,160868
x,a_star,gap,pancake28,'3 26 8 6 5 16 25 12 23 20 10 21 13 0 22 19 17 11 7 4 15 14 1 9 24 2 18 27',26,25,1079188,671266,160769
x,a_star,gap,pancake28,'25 3 27 14 20 0 19 17 6 21 1 15 22 4 10 5 12 24 7 8 26 11 2 9 16 13 23 18',28,26,5728456,357881,160066
x,a_star,gap,pancake28,'15 3 22 14 24 9 10 27 19 25 17 26 23 8 11 20 7 21 1 18 0 13 16 4 2 6 12 5',27,26,1461467,911066,160413
x,a_star,gap,pancake28,'15 17 6 27 1 19 20 16 23 3 12 0 25 22 18 5 4 10 14 24 26 13 2 8 21 7 11 9',27,25,8621741,541445,159236
x,a_star,gap,pancake28,'14 22 25 9 6 18 17 4 1 27 8 5 11 15 3 12 13 20 16 10 26 2 7 19 21 24 0 23',27,25,1963408,122013,160917
x,a_star,gap,pancake28,'11 0 7 2 1 3 25 4 20 16 12 17 26 19 5 13 10 9 21 14 18 8 23 27 22 15 6 24',27,25,10608716,71924,147499
x,a_star,gap,pancake28,'4 22 23 2 14 6 20 18 27 21 3 15 16 17 1 12 10 24 11 13 5 9 19 25 26 7 0 8',na,na,na,na,na
x,a_star,gap,pancake28,'7 5 27 2 22 16 25 26 13 23 3 17 15 21 12 24 10 9 14 19 1 4 8 0 18 20 6 11',27,25,10098125,684372,147553
x,a_star,gap,pancake28,'19 27 21 25 12 11 5 20 9 14 6 2 1 26 16 8 22 7 18 15 0 24 10 13 3 4 23 17',26,24,7207597,490372,146982
x,a_star,gap,pancake28,'4 24 26 18 23 7 2 3 6 0 12 8 15 25 21 17 5 1 13 22 16 10 20 27 11 14 9 19',28,26,8942471,604466,147940
x,a_star,gap,pancake28,'19 5 0 15 13 18 17 27 20 4 1 21 26 11 24 23 10 3 8 16 25 22 14 12 2 7 9 6',27,25,13510146,908111,148772
x,a_star,gap,pancake28,'24 14 2 0 18 6 25 22 7 5 10 12 16 1 11 20 19 8 4 13 21 23 27 3 15 17 26 9',na,na,na,na,na
x,a_star,gap,pancake28,'8 13 27 2 3 10 0 26 15 18 21 12 4 6 17 14 16 23 24 7 9 25 1 11 20 19 5 22',26,24,20195071,137645,146719
x,a_star,gap,pancake28,'17 13 10 15 23 3 9 12 0 25 18 6 14 27 22 21 20 19 7 2 5 24 4 8 26 1 16 11',25,24,19372,130184,148805
x,a_star,gap,pancake28,'19 6 1 22 25 21 8 5 27 12 24 3 7 23 17 10 9 4 11 14 0 26 15 18 20 13 2 16',28,26,5442885,372307,146193
x,a_star,gap,pancake28,'24 6 5 2 18 4 23 15 22 14 11 27 26 17 10 20 16 3 8 13 7 1 21 19 25 12 0 9',27,25,8428262,56756,148500
x,a_star,gap,pancake28,'25 26 0 27 6 3 18 15 16 4 8 17 23 1 9 5 21 2 19 12 11 7 10 20 13 14 24 22',25,23,9347198,636207,146921
x,a_star,gap,pancake28,'21 14 1 10 22 18 2 25 8 27 15 6 5 12 0 24 17 4 20 19 11 23 13 7 3 16 26 9',27,25,19664873,134323,146400
x,a_star,gap,pancake28,'27 5 9 1 24 16 15 21 22 11 25 2 13 10 18 12 20 17 6 26 19 4 0 8 23 3 7 14',26,25,1083466,734092,147593
x,a_star,gap,pancake28,'25 3 14 12 1 16 20 21 24 15 2 23 6 11 22 17 10 13 8 0 19 7 18 5 27 9 4 26',27,26,1695156,115622,146612
x,a_star,gap,pancake28,'24 10 11 26 8 27 0 6 15 25 5 1 14 7 17 13 21 2 23 4 3 12 9 16 22 19 20 18',26,24,11118257,758669,146550
x,a_star,gap,pancake28,'1 12 25 22 14 4 3 24 27 11 2 5 21 6 9 26 7 19 17 18 13 8 0 15 16 20 10 23',26,24,1533618,103618,148007
x,a_star,gap,pancake28,'19 14 4 6 23 15 2 1 0 8 7 22 17 5 12 10 25 18 21 26 9 3 11 13 27 20 24 16',na,na,na,na,na
x,a_star,gap,pancake28,'21 1 16 17 15 14 20 27 25 4 8 22 24 9 10 11 6 23 5 13 0 19 18 12 2 7 3 26',24,22,12639862,860151,146949
x,a_star,gap,pancake28,'7 18 27 20 11 8 9 15 3 26 16 5 14 21 4 23 2 1 22 25 0 13 10 6 17 19 12 24',26,25,1649637,111524,147918
x,a_star,gap,pancake28,'5 19 11 16 0 18 8 25 27 21 2 24 20 7 9 10 1 22 6 15 26 23 4 14 13 17 12 3',26,25,384799,262256,146727
x,a_star,gap,pancake28,'27 0 24 8 18 4 9 2 14 21 1 11 22 20 10 19 25 7 12 23 6 5 26 16 13 15 17 3',na,na,na,na,na
x,a_star,gap,pancake28,'26 24 17 7 21 4 20 14 13 10 3 27 9 16 18 1 23 19 2 15 8 12 0 5 22 6 25 11',27,26,835870,568313,147079
x,a_star,gap,pancake28,'15 3 2 19 11 14 13 22 26 20 17 1 0 6 16 12 7 24 9 4 21 8 27 18 5 23 10 25',26,24,1737550,117768,147540
x,a_star,gap,pancake28,'4 18 2 24 21 14 17 13 7 15 26 22 19 6 27 1 11 25 20 0 10 8 3 12 5 9 23 16',29,27,13740375,936797,146674
x,a_star,gap,pancake28,'15 5 7 24 4 3 18 1 13 17 10 26 16 22 19 25 14 6 27 2 8 11 0 20 23 9 12 21',28,26,31609036,215111,146943
x,a_star,gap,pancake28,'20 9 2 16 25 13 10 14 0 21 24 22 17 11 3 6 18 1 15 26 27 5 23 8 7 19 12 4',27,25,8984272,613398,146467
x,a_star,gap,pancake28,'23 24 21 10 12 2 18 16 19 27 13 20 11 17 6 1 3 7 4 14 0 15 8 5 25 9 26 22',27,26,4966807,338951,146535
x,a_star,gap,pancake28,'10 5 7 18 13 3 19 16 20 8 15 12 6 21 1 22 9 25 27 23 14 24 0 17 4 2 26 11',28,27,7890865,545774,144581
x,a_star,gap,pancake28,'7 23 25 22 0 1 26 11 6 14 17 5 16 20 2 4 21 18 12 19 3 13 9 15 24 8 27 10',27,26,3286220,227452,144480
x,a_star,gap,pancake28,'7 10 8 1 9 2 24 5 12 25 20 6 26 14 17 4 19 0 18 13 22 27 3 11 16 23 21 15',29,27,10187913,698958,145759
x,a_star,gap,pancake28,'1 3 15 9 13 11 17 22 21 26 18 24 25 20 8 6 7 2 23 27 19 12 10 4 16 14 0 5',26,24,5572333,380762,146347
x,a_star,gap,pancake28,'24 7 10 15 22 9 13 19 1 4 0 27 14 23 11 6 20 12 5 25 2 18 8 16 3 17 21 26',28,27,164292,113974,144149
x,a_star,gap,pancake28,'4 13 15 11 1 8 14 19 7 2 20 17 3 18 9 6 12 22 21 10 5 25 16 0 26 27 24 23',26,24,6240616,429435,145322
x,a_star,gap,pancake28,'2 24 20 27 22 19 7 8 0 21 6 13 4 3 15 16 5 17 25 14 23 26 12 9 11 10 18 1',25,23,14689159,100829,145684
x,a_star,gap,pancake28,'26 1 6 21 14 3 22 8 10 5 27 7 12 18 2 19 11 13 15 20 0 23 9 17 4 16 24 25',28,26,4785632,330819,144660
x,a_star,gap,pancake28,'20 23 7 5 6 11 12 8 1 14 16 9 18 0 3 19 22 27 25 26 24 17 21 10 15 4 13 2',na,na,na,na,na
x,a_star,gap,pancake28,'19 3 24 10 25 13 27 5 7 22 1 6 21 4 26 2 20 0 18 15 11 9 12 23 17 16 14 8',28,26,17603426,122.02,144267
x,a_star,gap,pancake28,'23 13 24 10 11 27 22 19 20 4 8 12 5 9 18 16 7 14 17 6 2 26 3 0 25 1 21 15',26,25,2438844,167585,145529
x,a_star,gap,pancake28,'10 13 3 7 14 5 17 18 22 21 15 12 6 20 25 2 1 16 24 8 9 19 0 23 27 26 11 4',25,22,16090220,111176,144728
x,a_star,gap,pancake28,'26 9 2 5 27 25 23 6 11 7 17 20 13 18 8 21 12 22 1 24 14 15 3 0 4 10 16 19',27,26,58059,394456,147188
x,a_star,gap,pancake28,'16 5 17 22 10 20 6 3 15 11 1 12 18 21 7 25 13 26 27 4 8 2 9 14 23 19 24 0',28,26,8771119,60317,145417
x,a_star,gap,pancake28,'24 25 16 5 14 3 0 23 10 2 18 20 11 17 12 1 15 19 8 4 9 26 22 21 27 13 6 7',26,24,2623275,180493,145339
x,a_star,gap,pancake28,'7 5 9 15 0 14 21 13 3 1 17 16 23 22 8 20 27 11 24 18 6 26 4 12 19 25 10 2',26,25,379599,26014,145921
x,a_star,gap,pancake28,'9 27 11 18 25 6 23 8 21 20 14 7 26 13 17 3 12 4 2 10 24 16 5 15 1 0 22 19',26,25,2199739,152081,144643
x,a_star,gap,pancake28,'0 6 10 22 4 2 24 8 25 23 15 17 13 1 3 5 20 19 11 9 12 14 18 26 7 16 27 21',28,26,10030876,685198,146394
x,a_star,gap,pancake28,'5 3 23 25 22 10 6 17 20 13 7 15 19 16 0 9 11 27 4 26 2 1 14 18 24 12 8 21',28,26,4216068,29012,145322
x,a_star,gap,pancake28,'20 23 2 15 1 25 24 9 26 22 10 18 6 16 0 5 7 14 13 4 11 27 19 21 17 8 3 12',27,25,5053713,348481,145021
x,a_star,gap,pancake28,'16 1 21 23 18 6 13 10 26 25 0 12 22 17 20 24 27 15 5 11 4 19 3 2 14 9 8 7',24,23,638555,4398,145192
x,a_star,gap,pancake28,'1 16 20 3 12 27 13 19 9 8 22 10 21 24 26 25 14 17 7 11 23 6 5 0 15 18 2 4',25,24,279879,19303,144992
x,a_star,gap,pancake28,'21 14 15 19 4 18 26 20 12 11 5 25 9 23 13 22 27 0 2 17 10 6 24 8 3 7 16 1',27,25,20529376,141764,144814
x,a_star,gap,pancake28,'10 12 4 16 5 6 7 8 3 0 26 14 9 17 15 11 21 19 2 27 13 20 23 25 24 1 22 18',25,23,937367,638528,146801
x,a_star,gap,pancake28,'6 22 16 25 12 23 5 19 0 21 4 18 20 11 10 14 9 7 27 2 1 26 15 17 24 13 8 3',27,25,43238389,298399,144901
x,a_star,gap,pancake28,'23 16 12 0 14 15 8 17 26 22 2 7 10 27 20 13 1 6 4 3 21 9 5 18 19 25 24 11',25,23,432247,296694,145688
