grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, 11puzzle, '1 2 5 3 4 8 7 9 11 6 B 10', 26, 289548910, 18.8367, 1.53715e+07
x, dfid, 11puzzle, '3 5 B 7 2 1 4 6 8 9 10 11', 16, 270364, 0.016581, 1.63057e+07
x, dfid, 11puzzle, '1 4 8 2 10 5 7 9 6 3 B 11', na, na, na, na 
x, dfid, 11puzzle, '1 5 4 3 B 2 6 7 10 9 11 8', na, na, na, na 
x, dfid, 11puzzle, '1 2 5 3 4 8 7 11 B 6 9 10', 20, 4459021, 0.348795, 1.27841e+07
x, dfid, 11puzzle, '3 1 2 4 7 5 6 10 8 9 B 11', na, na, na, na 
x, dfid, 11puzzle, '1 4 2 10 3 5 B 6 8 9 7 11', na, na, na, na 
x, dfid, 11puzzle, '3 5 B 4 7 8 6 1 2 9 11 10', na, na, na, na 
x, dfid, 11puzzle, '5 3 4 1 2 8 6 7 11 9 B 10', na, na, na, na 
x, dfid, 11puzzle, '4 2 5 8 6 3 7 11 B 9 1 10', na, na, na, na 
x, dfid, 11puzzle, '3 2 7 6 B 4 5 10 8 9 11 1', na, na, na, na 
x, dfid, 11puzzle, '8 1 2 3 B 4 10 5 7 6 9 11', na, na, na, na 
x, dfid, 11puzzle, '1 2 5 6 3 4 7 10 8 9 B 11', 26, 209477702, 14.3311, 1.4617e+07
x, dfid, 11puzzle, '1 4 2 3 B 5 10 7 8 6 9 11', na, na, na, na 
x, dfid, 11puzzle, '4 3 2 6 B 8 5 1 7 9 10 11', na, na, na, na 
x, dfid, 11puzzle, '4 2 1 3 B 10 6 5 11 7 9 8', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 4 7 5 B 6 8 9 10 11', na, na, na, na 
x, dfid, 11puzzle, '7 6 4 10 1 2 9 3 5 11 B 8', na, na, na, na 
x, dfid, 11puzzle, '1 2 B 3 6 5 7 8 11 4 9 10', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 6 B 5 10 4 11 8 9 7', na, na, na, na 
x, dfid, 11puzzle, '3 2 B 6 1 5 10 4 8 7 9 11', 30, 3387643548, 248.462, 1.36344e+07
x, dfid, 11puzzle, '3 2 5 4 1 8 6 7 11 9 B 10', na, na, na, na 
x, dfid, 11puzzle, '5 8 2 3 6 1 4 11 B 9 7 10', 20, 3323807, 0.258115, 1.28772e+07
x, dfid, 11puzzle, '5 6 1 3 B 8 9 2 4 10 7 11', na, na, na, na 
x, dfid, 11puzzle, '5 3 8 1 B 11 6 2 4 9 7 10', na, na, na, na 
x, dfid, 11puzzle, '1 4 2 3 7 5 6 10 8 9 B 11', 28, 800682477, 58.2192, 1.37529e+07
x, dfid, 11puzzle, '4 3 2 1 7 5 B 11 10 6 9 8', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 7 6 8 5 4 11 9 B 10', na, na, na, na 
x, dfid, 11puzzle, '1 2 B 3 4 5 6 7 8 9 10 11', 2, 15, 3e-06, 5e+06
