grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, topspin16-4, '0 1 2 9 12 13 3 5 7 11 10 6 8 4 14 15', 10, 18949706591, 537.82, 3.52343e+07
x, dfid, topspin16-4, '8 1 2 3 12 0 4 5 6 7 11 14 13 9 10 15', 6, 2180953, 0.061023, 3.57399e+07
x, dfid, topspin16-4, '6 8 3 2 5 4 7 11 10 1 0 12 9 13 14 15', 8, 85801004, 2.42357, 3.54027e+07
x, dfid, topspin16-4, '5 6 14 12 1 0 7 8 4 10 11 2 3 9 13 15', na, na, na, na 
x, dfid, topspin16-4, '4 7 1 8 9 0 3 2 5 6 10 11 12 13 14 15', 6, 4774743, 0.127731, 3.73812e+07
x, dfid, topspin16-4, '4 9 8 2 3 10 7 11 12 6 14 0 1 5 13 15', 10, 11277682612, 357.183, 3.15739e+07
x, dfid, topspin16-4, '14 7 2 3 11 10 6 0 4 5 8 9 13 1 12 15', na, na, na, na 
x, dfid, topspin16-4, '13 12 11 3 2 7 14 8 1 4 5 0 6 9 10 15', na, na, na, na 
x, dfid, topspin16-4, '0 4 8 1 7 11 12 9 10 5 6 14 3 13 2 15', na, na, na, na 
x, dfid, topspin16-4, '7 4 13 3 6 1 0 12 11 9 14 5 10 2 8 15', na, na, na, na 
x, dfid, topspin16-4, '4 5 1 0 2 3 8 7 6 9 13 12 11 10 14 15', 6, 1467569, 0.046189, 3.17731e+07
x, dfid, topspin16-4, '14 7 12 11 6 5 4 8 9 10 1 2 0 3 13 15', na, na, na, na 
x, dfid, topspin16-4, '0 7 3 2 1 6 5 4 8 9 10 11 12 13 14 15', 2, 420, 1.4e-05, 3e+07
x, dfid, topspin16-4, '0 1 2 6 5 4 12 8 7 3 11 14 13 9 10 15', 4, 89870, 0.002522, 3.56344e+07
x, dfid, topspin16-4, '3 2 1 4 5 6 7 8 13 14 11 12 9 10 0 15', 6, 7341122, 0.216536, 3.39025e+07
x, dfid, topspin16-4, '4 3 2 10 11 7 6 9 8 12 13 14 5 1 0 15', 4, 61361, 0.001626, 3.77374e+07
x, dfid, topspin16-4, '14 13 0 4 3 2 5 9 8 7 6 1 12 10 11 15', na, na, na, na 
x, dfid, topspin16-4, '14 13 1 4 5 6 2 3 7 11 10 9 8 12 0 15', 4, 60003, 0.001799, 3.33535e+07
x, dfid, topspin16-4, '2 1 7 5 14 3 13 4 10 11 12 9 8 6 0 15', na, na, na, na 
x, dfid, topspin16-4, '0 6 12 3 5 9 7 2 8 13 11 10 1 4 14 15', na, na, na, na 
x, dfid, topspin16-4, '2 10 6 4 5 0 12 11 8 1 13 3 7 9 14 15', na, na, na, na 
x, dfid, topspin16-4, '14 2 3 4 7 8 9 5 6 13 12 11 10 1 0 15', 4, 72527, 0.003161, 2.29443e+07
x, dfid, topspin16-4, '0 1 5 4 3 7 13 10 11 12 9 8 14 2 6 15', 8, 428545165, 13.0105, 3.29384e+07
x, dfid, topspin16-4, '0 6 9 8 4 5 10 14 13 12 11 3 7 1 2 15', 6, 3451062, 0.102283, 3.37403e+07
x, dfid, topspin16-4, '0 12 11 2 1 13 14 3 7 6 5 4 8 9 10 15', 4, 64219, 0.00181, 3.54801e+07
x, dfid, topspin16-4, '2 1 5 9 8 10 12 7 6 11 13 0 3 4 14 15', na, na, na, na 
x, dfid, topspin16-4, '3 5 14 7 1 4 13 9 8 10 11 12 2 6 0 15', 8, 222640895, 6.71521, 3.31547e+07
