grupo, algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
x, wida, manhattan, 1.5, 15puzzle_korf, 'B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7', 60, 51, 695148, 2.67243, 260118
x, wida, manhattan, 1.5, 15puzzle_korf, '3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11', 59, 61, 30092, 0.11294, 266442
x, wida, manhattan, 1.5, 15puzzle_korf, 'B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15', 46, 42, 162466, 0.617928, 262921
x, wida, manhattan, 1.5, 15puzzle_korf, '11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2', 63, 64, 35074, 0.13177, 266176
x, wida, manhattan, 1.5, 15puzzle_korf, '13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7', 55, 58, 69311, 0.261643, 264907
x, wida, manhattan, 1.5, 15puzzle_korf, '14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 B', na, na, na, na, na 
x, wida, manhattan, 1.5, 15puzzle_korf, '12 3 9 1 4 5 10 2 6 11 15 B 14 7 13 8', 53, 46, 5343460, 21.5675, 247755
x, wida, manhattan, 1.5, 15puzzle_korf, '15 8 10 7 B 12 14 1 5 9 6 3 13 11 4 2', 57, 55, 909656, 3.49396, 260351
x, wida, manhattan, 1.5, 15puzzle_korf, '4 7 13 10 1 2 9 6 12 8 14 5 3 B 11 15', 46, 48, 89519, 0.327599, 273258
x, wida, manhattan, 1.5, 15puzzle_korf, '6 B 5 10 11 12 9 2 1 7 4 3 14 8 13 15', 49, 52, 46077, 0.164935, 279365
x, wida, manhattan, 1.5, 15puzzle_korf, '9 5 11 10 13 B 2 1 8 6 14 12 4 7 3 15', 54, 51, 1235336, 4.88405, 252933
x, wida, manhattan, 1.5, 15puzzle_korf, '15 2 12 11 14 13 9 5 1 3 8 7 B 10 6 4', 65, 64, 9348828, 36.1198, 258828
x, wida, manhattan, 1.5, 15puzzle_korf, '11 1 7 4 10 13 3 8 9 14 B 15 6 5 2 12', 56, 57, 1889229, 6.97405, 270894
x, wida, manhattan, 1.5, 15puzzle_korf, '5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3', 54, 54, 839054, 3.08347, 272114
x, wida, manhattan, 1.5, 15puzzle_korf, '9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4', 61, 61, 15908, 0.058373, 272523
x, wida, manhattan, 1.5, 15puzzle_korf, '3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1', 59, 55, 9828253, 36.1162, 272129
x, wida, manhattan, 1.5, 15puzzle_korf, '13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15', 50, 51, 527221, 1.93102, 273028
x, wida, manhattan, 1.5, 15puzzle_korf, '5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2', 65, 67, 95572, 0.352084, 271447
x, wida, manhattan, 1.5, 15puzzle_korf, '4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14', 56, 51, 470808, 1.74188, 270287
x, wida, manhattan, 1.5, 15puzzle_korf, '1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10', 51, 52, 2153785, 7.94933, 270939
x, wida, manhattan, 1.5, 15puzzle_korf, '9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3', 48, 48, 148573, 0.538035, 276140
x, wida, manhattan, 1.5, 15puzzle_korf, 'B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6', 56, 51, 710902, 2.58797, 274695
x, wida, manhattan, 1.5, 15puzzle_korf, '7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8', 61, 58, 2165370, 9.32686, 232165
x, wida, manhattan, 1.5, 15puzzle_korf, '11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15', 58, 57, 1261090, 5.34733, 235835
