grupo, algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
x, wida, pdb555, 1.5, 15puzzle_korf, '6 B 5 10 11 12 9 2 1 7 4 3 14 8 13 15', 45, 55, 295196, 0.082004, 3.59978e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '9 5 11 10 13 B 2 1 8 6 14 12 4 7 3 15', 52, 54, 16146397, 3.15567, 5.11664e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '15 2 12 11 14 13 9 5 1 3 8 7 B 10 6 4', na, na, na, na, na 
x, wida, pdb555, 1.5, 15puzzle_korf, '11 1 7 4 10 13 3 8 9 14 B 15 6 5 2 12', 54, 57, 44153524, 8.72375, 5.0613e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3', 50, 54, 1180061, 0.230409, 5.12159e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4', 57, 61, 59008683, 11.7267, 5.03198e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1', 57, 61, 51850688, 10.4825, 4.94641e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15', 46, 54, 381201, 0.072219, 5.2784e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2', 53, 67, 631452, 0.129009, 4.89464e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14', 50, 54, 2959508, 0.591543, 5.00303e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10', 49, 55, 479317, 0.094081, 5.09473e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3', 44, 51, 195233, 0.038645, 5.05196e+06
x, wida, pdb555, 1.5, 15puzzle_korf, 'B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6', 54, 54, 48229598, 10.2423, 4.70886e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8', 57, 61, 15880671, 3.89989, 4.07208e+06
x, wida, pdb555, 1.5, 15puzzle_korf, '11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15', 54, 57, 33667827, 7.54556, 4.46194e+06
